col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145,col146,col147,col148,col149,col150,col151,col152,col153,class
5733,71028,1154534,21149286,70321,863426,13981256,1131315,13789154,20442223,5733,-407132496,2.89128E+13,-2.05326E+18,-403079972,2.8625E+13,-2.03282E+18,2.834E+13,-2.01259E+18,-1.99255E+18,8.41E+28,6.43E+30,6.58E+36,-1.02E+41,6.43E+30,3.53E+35,-7.87E+39,6.58E+36,-7.87E+39,-1.02E+41,25,25,33,47,21,24,17,34,36,55,13,30,26,17,28,45,34,35,10,12,0,11,6,15,6,10,10,15,6,10,19,13,10,7,8,18,10,19,17,15,8,1,16,17,8,13,13,7,18,14,9,16,18,12,12,3,11,8,18,17,3,12,12,6,1,18,9,5,13,14,10,2,9,5,2,3,18,15,5,16,17,2,3,12,14,9,16,2,11,16,12,2,16,8,17,16,8,2,4,9,13,14,4,18,2,18,1,18,19,15,9,12,3,4,12,8,17,10,4,17,18,2,7,1
26469,716432,25819310,1049819498,715064,19257171,693182107,25739532,690002375,1043915912,26469,-18962522176,1.35848E+16,-9.73225E+21,-18926313952,1.35589E+16,-9.71367E+21,1.3533E+16,-9.69512E+21,-9.67661E+21,1.44E+77,7.30E+79,7.07E+86,-9.89E+91,7.30E+79,3.66E+85,-6.77E+90,7.07E+86,-6.77E+90,-9.89E+91,96,361,173,201,84,307,48,149,111,141,52,188,175,100,131,173,166,108,13,94,0,11,15,15,6,15,10,10,4,8,1,10,6,5,17,18,10,10,1,16,20,17,16,7,6,1,3,1,12,10,4,1,6,12,18,9,4,17,15,1,16,15,1,9,15,15,6,6,6,6,7,3,1,10,9,6,13,12,18,2,6,16,15,20,12,1,20,2,2,13,6,19,9,17,10,13,6,6,12,14,2,8,18,13,8,2,15,7,16,2,6,3,6,5,2,16,15,13,12,11,2,17,2,1
5025,61271,968951,17156855,58356,712477,11260297,869042,10590445,14567994,5025,-307825504,1.8857E+13,-1.15516E+18,-293180544,1.79599E+13,-1.1002E+18,1.71054E+13,-1.04786E+18,-9.98006E+17,3.07E+27,3.52E+29,1.86E+35,-2.37E+39,3.52E+29,9.22E+33,-1.73E+38,1.86E+35,-1.73E+38,-2.37E+39,44,19,25,30,14,30,16,34,25,47,15,17,22,13,31,31,33,36,8,13,0,11,4,1,1,18,1,1,13,15,13,15,10,10,10,10,18,10,1,1,1,1,1,1,1,1,1,10,10,13,6,1,17,1,10,14,2,5,2,7,10,2,17,9,3,12,5,17,2,18,17,3,6,10,2,5,18,16,18,17,4,17,17,3,9,18,8,7,12,16,11,2,8,1,4,8,3,10,8,13,15,3,15,13,5,18,2,1,13,16,16,9,17,6,16,18,17,17,17,20,2,2,12,1
12468,236408,5882648,164649074,241245,4572804,113740236,6140133,116299688,174893343,12468,-2947298536,6.96709E+14,-1.64694E+20,-3007601415,7.10964E+14,-1.68064E+20,7.25511E+14,-1.71503E+20,-1.75012E+20,4.06E+48,-7.85E+50,3.06E+57,-1.66E+62,-7.85E+50,1.60E+56,-1.26E+61,3.06E+57,-1.26E+61,-1.66E+62,129,9,43,66,22,381,15,32,50,61,10,41,232,33,72,52,42,55,5,16,0,11,10,16,5,18,3,17,15,17,10,10,10,10,1,18,17,10,2,10,1,17,2,14,16,10,14,4,4,17,18,15,9,6,13,1,6,3,15,6,13,15,6,4,15,6,13,13,6,13,13,6,15,3,6,4,3,6,13,17,6,13,13,6,13,13,6,13,13,6,13,13,6,10,6,6,12,5,1,1,14,20,3,6,9,6,18,6,10,6,13,6,13,11,6,10,11,6,13,15,6,13,13,1
5461,67386,1097332,20094078,66837,829574,13517914,1059655,13170084,18788259,5461,-367927560,2.47886E+13,-1.6701E+18,-364930020,2.45867E+13,-1.65649E+18,2.43864E+13,-1.643E+18,-1.62961E+18,8.01E+28,6.77E+30,6.18E+36,-9.24E+40,6.77E+30,3.17E+35,-6.88E+39,6.18E+36,-6.88E+39,-9.24E+40,40,11,30,41,15,46,14,35,37,51,13,13,32,24,28,33,34,38,8,8,0,11,13,16,4,17,13,14,1,4,18,6,13,17,6,2,13,7,15,16,6,13,7,16,1,9,6,16,10,4,9,6,16,13,4,3,9,4,1,9,4,13,10,19,8,15,13,3,1,13,16,15,2,17,19,14,10,6,15,13,1,16,4,16,13,7,7,7,17,1,13,1,9,16,13,9,8,10,13,3,8,10,9,9,8,6,3,17,13,11,18,15,8,12,9,8,6,9,9,5,6,10,9,1
25090,620729,20398283,755641667,617681,15338428,504268932,20030925,497092008,730667309,25090,-15573469881,9.66652E+15,-6.00005E+21,-15496998609,9.61905E+15,-5.97059E+21,9.57182E+15,-5.94127E+21,-5.9121E+21,3.61E+68,1.25E+71,1.08E+78,-1.15E+83,1.25E+71,5.41E+76,-7.82E+81,1.08E+78,-7.82E+81,-1.15E+83,110,26,121,148,109,129,75,110,158,222,61,125,128,110,104,219,155,125,37,79,0,11,14,8,4,10,16,17,2,5,5,10,2,10,10,15,5,2,5,16,1,17,15,15,20,20,10,6,1,18,4,10,16,19,3,20,11,14,16,3,10,6,4,10,13,18,3,1,15,5,13,13,15,18,13,9,16,5,13,5,12,17,16,18,18,20,9,9,17,10,5,18,4,5,17,3,7,10,5,12,8,1,9,13,15,13,13,19,11,6,10,10,6,13,17,8,14,1,4,18,20,3,17,1
4641,53338,808346,13799512,52152,598813,9033657,756006,8634955,12264972,4641,-247488320,1.31977E+13,-7.03787E+17,-241985280,1.29042E+13,-6.88138E+17,1.26173E+13,-6.72836E+17,-6.57876E+17,1.23E+26,9.25E+27,6.05E+33,-7.00E+37,9.25E+27,3.10E+32,-5.31E+36,6.05E+33,-5.31E+36,-7.00E+37,22,24,19,43,21,36,10,25,28,28,6,32,15,14,20,27,31,37,7,16,0,11,14,15,18,12,11,8,11,1,4,16,13,6,10,8,17,8,2,10,10,6,20,10,10,16,1,4,2,17,18,5,10,3,7,4,12,1,12,9,8,10,12,15,13,9,15,20,12,16,6,9,10,4,4,5,18,14,6,12,10,4,15,4,2,11,4,4,9,2,16,5,4,4,1,15,4,18,5,4,12,17,4,15,17,17,4,5,19,9,14,20,18,3,6,3,14,2,4,16,12,13,2,1
28063,763002,27553144,1122745464,748020,20262692,729650766,26171258,708247938,1028077020,28063,-21411362124,1.63363E+16,-1.24642E+22,-20990937240,1.60156E+16,-1.22195E+22,1.57011E+16,-1.19795E+22,-1.17443E+22,1.53E+77,1.34E+80,7.27E+86,-9.60E+91,1.34E+80,3.56E+85,-6.11E+90,7.27E+86,-6.11E+90,-9.60E+91,153,234,157,182,88,206,69,95,108,228,56,98,176,133,142,207,152,225,26,78,0,11,8,13,1,15,5,1,6,18,10,10,1,10,1,10,8,10,13,6,17,10,2,1,4,6,17,15,6,15,16,16,17,1,15,2,16,10,5,6,16,3,5,18,12,17,5,3,6,16,11,20,16,5,1,6,20,2,16,20,10,10,1,6,6,2,14,9,15,16,5,16,8,8,6,3,5,14,12,6,9,15,18,16,10,16,18,20,10,6,4,5,5,3,8,7,10,5,18,12,6,17,18,1
6474,84201,1432471,27392877,84303,1094748,18536474,1442723,18735000,27726045,6474,-545033073,4.58852E+13,-3.86299E+18,-545693319,4.59408E+13,-3.86767E+18,4.59965E+13,-3.87235E+18,-3.87704E+18,2.37E+30,-7.15E+29,2.37E+38,-4.32E+42,-7.15E+29,1.28E+37,-3.46E+41,2.37E+38,-3.46E+41,-4.32E+42,30,36,28,31,29,43,22,38,41,46,6,21,24,27,29,51,53,38,10,22,0,11,8,5,10,20,14,18,18,7,5,8,10,5,17,16,18,16,6,4,2,18,17,14,10,10,9,3,17,2,5,4,6,6,3,8,17,17,18,5,17,13,16,1,9,20,2,14,18,18,2,17,20,7,13,15,2,10,10,5,17,5,17,1,4,16,13,16,4,3,13,17,15,19,5,17,2,18,10,9,3,16,18,17,4,17,10,13,15,18,12,15,17,1,1,8,16,6,20,16,5,9,14,1
1321,8715,74377,719523,7980,50967,429431,62448,383915,551046,1321,-11503800,1.0018E+11,-8.72406E+14,-10533600,91730829267,-7.98829E+14,83994510048,-7.31458E+14,-6.69769E+14,1.94477E+14,2.27E+16,5.18E+20,-8.11E+23,2.27E+16,3.12E+19,-5.22E+22,5.18E+20,-5.22E+22,-8.11E+23,11,2,12,15,5,10,7,7,6,17,7,7,7,6,4,9,5,4,1,4,0,11,17,11,15,16,10,10,15,17,13,5,10,2,6,10,10,19,1,5,2,1,13,6,1,15,1,4,4,13,1,1,16,5,16,14,13,6,16,11,6,10,3,9,12,17,18,7,3,14,4,7,8,11,4,7,10,4,6,18,8,12,9,13,4,1,4,11,16,13,14,4,10,14,10,7,20,5,9,11,7,3,20,3,6,12,12,10,10,3,6,10,4,10,16,17,1,8,17,7,18,7,9,1
